company,position,city,review_date,experience,rating_total,pros_text,cons_text,full_text,sentiment_label,source_url
Т-Банк,Специалист контакного центра,Тольятти,июнь 2025,Работал 3-5 лет,5.0,"В Тбанке я проработал три года, сначала в обычном отделе обслуживания входящие обращения, затем перешел в обслуживание премиум клиентов, где тоже входящая поддержка но как бы выделенная линия для премиум. Работа удаленная. Но знаю по группе что вакансий на нашу должность не часто доступны. В основе работают в мск скорее всего. Ну что, впечатления от работы самые хорошие, платили всегда исправно, даже когда кризисные моменты были, падения акций, Тбанк никогда не задерживал оплату. Не могу не отметить корпоративную культуру, здесь она реально крутая и на самом деле работает. Есть возможности для карьерного роста, я лично стал ведущим специалистом поддержки премиум, хотя начал с простого специалиста кц.","Требования к сотруднику высокие, но и зп вполне соответствующая. Ответ представителя компании Июнь 2025 Добрый день! Ваш положительный отзыв делает наш день еще лучше!","В Тбанке я проработал три года, сначала в обычном отделе обслуживания входящие обращения, затем перешел в обслуживание премиум клиентов, где тоже входящая поддержка но как бы выделенная линия для премиум. Работа удаленная. Но знаю по группе что вакансий на нашу должность не часто доступны. В основе работают в мск скорее всего. Ну что, впечатления от работы самые хорошие, платили всегда исправно, даже когда кризисные моменты были, падения акций, Тбанк никогда не задерживал оплату. Не могу не отметить корпоративную культуру, здесь она реально крутая и на самом деле работает. Есть возможности для карьерного роста, я лично стал ведущим специалистом поддержки премиум, хотя начал с простого специалиста кц. Требования к сотруднику высокие, но и зп вполне соответствующая. Ответ представителя компании Июнь 2025 Добрый день! Ваш положительный отзыв делает наш день еще лучше!",positive,https://dreamjob.ru/employers/25607
Т-Банк,Ведущий бизнес-аналитик,Москва,июнь 2026,Работаю 1-2 года,2.7,"ЗП и бенефиты одни из самых лучших на рынке РФ. Узнаваемый ""бренд"". Много офисов разработки в регионах. Хороший ДМС от Ренессанс на сотрудника, плюс компенсация для ДМС на родственников.",,"ЗП и бенефиты одни из самых лучших на рынке РФ. Узнаваемый ""бренд"". Много офисов разработки в регионах. Хороший ДМС от Ренессанс на сотрудника, плюс компенсация для ДМС на родственников.",negative,https://dreamjob.ru/employers/25607
Т-Банк,Оператор (сборка документов),Москва,июнь 2026,Работал 1-2 года,4.0,"Свобода выбора графика, лояльность, прозрачность. Всё закономерно.","Коммуникация между сотрудниками. Желательно равномерное распределение работы, чтоб не было накладок и не терять в качестве. Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026","Свобода выбора графика, лояльность, прозрачность. Всё закономерно. Коммуникация между сотрудниками. Желательно равномерное распределение работы, чтоб не было накладок и не терять в качестве. Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026",positive,https://dreamjob.ru/employers/25607
Т-Банк,Главный менеджер по работе с крупным бизнесом,Москва,июнь 2026,Работаю 3-5 лет,3.7,"Отличный банк, хороший социальный пакет, интересный подход, забота о сотрудниках и их родных.","Поддержка со стороны руководства, особенно когда что то не получается. Это очень помогает Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026","Отличный банк, хороший социальный пакет, интересный подход, забота о сотрудниках и их родных. Поддержка со стороны руководства, особенно когда что то не получается. Это очень помогает Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026",neutral,https://dreamjob.ru/employers/25607
Т-Банк,Оператор разметки данных,Пожаловаться Работаю меньше года Москва,июнь 2026,Работаю меньше года,4.3,"Полная свобода в выборе рабочего графика. Никаких созвонов, никаких контактов с коллегами или начальством, полная удалёнка. Идеальная работа для интроверта.","Зарплату можно было бы поднять или сделать более стабильной. Можно трудиться с утра до вечера, а заработать копейки. Всё зависит от того, какие задания сегодня выдаёт система. Инструкции к заданиям не охватывают всех возможных сценариев, из-за чего сотрудник иногда оказывается в ситуации неопределённости. Но если вы начнёте допускать ошибки, вам обязательно прилетит предупреждение. При этом в нём не будет сказано, где именно эти ошибки были допущены. Полезный отзыв Это полезный отзыв 1 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026","Полная свобода в выборе рабочего графика. Никаких созвонов, никаких контактов с коллегами или начальством, полная удалёнка. Идеальная работа для интроверта. Зарплату можно было бы поднять или сделать более стабильной. Можно трудиться с утра до вечера, а заработать копейки. Всё зависит от того, какие задания сегодня выдаёт система. Инструкции к заданиям не охватывают всех возможных сценариев, из-за чего сотрудник иногда оказывается в ситуации неопределённости. Но если вы начнёте допускать ошибки, вам обязательно прилетит предупреждение. При этом в нём не будет сказано, где именно эти ошибки были допущены. Полезный отзыв Это полезный отзыв 1 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026",positive,https://dreamjob.ru/employers/25607
Т-Банк,Менеджер по продажам,Пожаловаться Работал меньше года Москва,июнь 2026,Работал меньше года,4.3,"Удаленная работа, хороший руководящий состав, возможность развитие новых навыков за счет базы знаний и менторов, присутствуют бонусы и премия","Увеличь заработную плату за счет оклада, оклад слишком маленький, увеличить виды премирование, а именно акции компании Т-банк было актуальны для всего слоя населения что занимается инвестициями, плюс можно будет переманить их на т-инвестиции и создать хорошие условия для увеличения клиентов в последущем(без описание и помощи) Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Пенза, Июнь 2026","Удаленная работа, хороший руководящий состав, возможность развитие новых навыков за счет базы знаний и менторов, присутствуют бонусы и премия Увеличь заработную плату за счет оклада, оклад слишком маленький, увеличить виды премирование, а именно акции компании Т-банк было актуальны для всего слоя населения что занимается инвестициями, плюс можно будет переманить их на т-инвестиции и создать хорошие условия для увеличения клиентов в последущем(без описание и помощи) Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Пенза, Июнь 2026",positive,https://dreamjob.ru/employers/25607
Т-Банк,Оператор разметки данных,Пенза,июнь 2026,Работаю 1-2 года,3.8,"Свобода выборе графика, не тратишь время на дорогу, возможность совмещать с другими делами","Коммуникацию с другими отделами, оплату труда, прохождение обучений, количество заданий Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Санкт-Петербург, Июнь 2026","Свобода выборе графика, не тратишь время на дорогу, возможность совмещать с другими делами Коммуникацию с другими отделами, оплату труда, прохождение обучений, количество заданий Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Санкт-Петербург, Июнь 2026",neutral,https://dreamjob.ru/employers/25607
Т-Банк,Оператор клиентской поддержки,Санкт-Петербург,июнь 2026,Работаю 1-2 года,5.0,"Я помню, что начинал свой путь с позиции представителя Т-банка - но быстро понял, что весь день мотаться по городу совсем не моя история. К счастью, внутри банка возможны переходы на другую должность, так я оказался оператором клиентской поддержки. То же общение с людьми, но сидя в удобном кресле. Обучение было эффективным, учиться можно было бесконечно - я много полезных коммуникационных навыков вынес из этого опыта, применяю какие-то знания до сих пор. Зарплата устраивала - если не лениться и эффективно отрабатывать каждую заявку, можно было выходить на неплохой доход.","Хотелось бы больше перерыв на обед и более гибкие условия при составлению рабочего графика, но это если уж совсем придираться.","Я помню, что начинал свой путь с позиции представителя Т-банка - но быстро понял, что весь день мотаться по городу совсем не моя история. К счастью, внутри банка возможны переходы на другую должность, так я оказался оператором клиентской поддержки. То же общение с людьми, но сидя в удобном кресле. Обучение было эффективным, учиться можно было бесконечно - я много полезных коммуникационных навыков вынес из этого опыта, применяю какие-то знания до сих пор. Зарплата устраивала - если не лениться и эффективно отрабатывать каждую заявку, можно было выходить на неплохой доход. Хотелось бы больше перерыв на обед и более гибкие условия при составлению рабочего графика, но это если уж совсем придираться.",positive,https://dreamjob.ru/employers/25607
Т-Банк,Менеджер по работе с партнерами,Пожаловаться Работал меньше года Самара,июнь 2026,Работал меньше года,4.5,"Комфортные условия, лояльный руководитель, гибридный график работы, хорошее техническое обеспечение","Систему наставничества, поэтапную адаптацию новых сотрудников, уведомление об изменении в исходных договоренностях по условиях трудоустройства Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026","Комфортные условия, лояльный руководитель, гибридный график работы, хорошее техническое обеспечение Систему наставничества, поэтапную адаптацию новых сотрудников, уведомление об изменении в исходных договоренностях по условиях трудоустройства Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Москва, Июнь 2026",positive,https://dreamjob.ru/employers/25607
Т-Банк,Специалист по работе с просроченной задолженностью,Москва,июнь 2026,Работал 1-2 года,4.3,Простота в настройке оборудования для первоначальной работы. Хорошее обучение. Система с накоплением баллов за работу,"Нет обратной связи с руководителем. Банк старается чтобы коллектив был разрознен, встречи индивидуальные в основном чтобы никто ничего не знал. Пропадают взысканные суммы Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Рязань, Июнь 2026","Простота в настройке оборудования для первоначальной работы. Хорошее обучение. Система с накоплением баллов за работу Нет обратной связи с руководителем. Банк старается чтобы коллектив был разрознен, встречи индивидуальные в основном чтобы никто ничего не знал. Пропадают взысканные суммы Полезный отзыв Это полезный отзыв 0 Ссылка на отзыв Этот отзыв без ответа Ответить от лица компании Рязань, Июнь 2026",positive,https://dreamjob.ru/employers/25607
